iter	Passed	Remaining
0	2	208
1	4	199
2	6	201
3	7	186
4	9	187
5	11	186
6	14	190
7	16	191
8	19	192
9	21	196
10	23	193
11	25	190
12	27	186
13	30	187
14	32	184
15	34	181
16	36	180
17	39	178
18	41	176
19	43	174
20	45	171
21	47	169
22	50	170
23	53	167
24	55	165
25	57	163
26	59	160
27	61	158
28	63	156
29	66	154
30	68	152
31	70	150
32	72	147
33	75	146
34	77	143
35	79	140
36	81	138
37	83	135
38	85	133
39	87	131
40	89	129
41	90	125
42	93	123
43	95	121
44	97	119
45	99	117
46	101	114
47	103	112
48	105	109
49	107	107
50	109	105
51	111	103
52	113	100
53	115	98
54	117	95
55	119	93
56	120	91
57	122	89
58	124	86
59	126	84
60	128	82
61	131	80
62	133	78
63	135	76
64	137	74
65	140	72
66	142	69
67	143	67
68	145	65
69	147	63
70	149	61
71	151	58
72	153	56
73	155	54
74	157	52
75	159	50
76	161	48
77	163	46
78	164	43
79	167	41
80	169	39
81	171	37
82	173	35
83	175	33
84	177	31
85	180	29
86	183	27
87	185	25
88	187	23
89	190	21
90	192	19
91	195	16
92	197	14
93	199	12
94	202	10
95	204	8
96	206	6
97	209	4
98	212	2
99	214	0
