iter	Passed	Remaining
0	152	152552
1	154	77178
2	156	52114
3	159	39662
4	161	32174
5	164	27258
6	167	23731
7	169	21022
8	172	19008
9	174	17318
10	177	15937
11	179	14807
12	181	13815
13	186	13141
14	190	12488
15	193	11894
16	196	11377
17	198	10855
18	201	10397
19	203	9987
20	206	9614
21	209	9313
22	212	9014
23	214	8727
24	217	8470
25	220	8248
26	224	8096
27	227	7884
28	229	7678
29	232	7521
30	235	7359
31	238	7221
32	241	7068
33	243	6919
34	245	6776
35	248	6643
36	250	6520
37	253	6411
38	255	6298
39	257	6183
40	260	6082
41	262	5986
42	267	5943
43	269	5859
44	271	5769
45	274	5684
46	276	5599
47	278	5521
48	282	5489
49	285	5426
50	287	5355
51	290	5288
52	292	5224
53	296	5190
54	299	5138
55	301	5086
56	304	5032
57	306	4979
58	309	4931
59	312	4903
60	315	4851
61	317	4803
62	319	4755
63	322	4713
64	326	4690
65	328	4650
66	330	4609
67	333	4570
68	336	4534
69	338	4494
70	341	4467
71	343	4432
72	346	4395
73	348	4359
74	350	4327
75	353	4294
76	356	4278
77	359	4246
78	362	4228
79	365	4198
80	367	4168
81	370	4148
82	371	4109
83	374	4081
84	376	4052
85	378	4027
86	381	4004
87	385	3999
88	388	3974
89	390	3947
90	392	3920
91	394	3896
92	397	3873
93	401	3867
94	403	3848
95	406	3827
96	409	3809
97	412	3793
98	414	3776
99	418	3765
100	422	3760
101	425	3743
102	429	3741
103	432	3725
104	436	3718
105	439	3710
106	443	3700
107	446	3686
108	449	3671
109	451	3655
110	455	3646
111	459	3641
112	462	3628
113	465	3615
114	468	3602
115	470	3586
116	473	3570
117	476	3559
118	478	3543
119	481	3528
120	483	3513
121	485	3497
122	490	3496
123	492	3481
124	495	3468
125	498	3458
126	500	3443
127	506	3447
128	509	3436
129	511	3425
130	515	3419
131	520	3420
132	523	3411
133	526	3400
134	528	3388
135	531	3377
136	535	3370
137	537	3360
138	540	3347
139	542	3334
140	545	3323
141	547	3309
142	551	3302
143	554	3294
144	556	3283
145	559	3272
146	566	3289
147	569	3280
148	572	3269
149	575	3262
150	581	3268
151	584	3259
152	587	3250
153	590	3242
154	603	3290
155	606	3279
156	609	3275
157	613	3268
158	616	3258
159	619	3252
160	621	3239
161	626	3239
162	630	3239
163	639	3259
164	647	3278
165	651	3275
166	655	3268
167	658	3260
168	661	3252
169	664	3243
170	667	3234
171	670	3227
172	673	3219
173	676	3209
174	678	3199
175	680	3188
